League,match_id,phase,map_name,team1_name,team1_score,team2_name,team2_score,player_team,player_name,agents,role,kills,deaths,assists,acs,adr,rating,kast,first_kills,first_deaths,fk_diff,RIV,hs_pct,k2,k3,k4,k5,clutch_1v1,clutch_1v2,clutch_1v3,clutch_1v4,clutch_1v5,econ,plants,defuses,game_id,Year
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,yuki,Veto,Sentinel,24,21,0,230,150,1.02,64,5,3,2,0.34,43,4,1,1,0,1,0,0,0,0,53,1,2,252090,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,yuki,Killjoy,Sentinel,20,21,4,256,156,1.01,70,3,1,2,-0.01,24,3,1,1,0,0,1,0,0,0,57,0,1,252075,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,ayuta,Tejo,Initiator,13,16,7,163,109,0.76,61,1,3,-2,0.37,35,3,1,0,0,0,0,0,0,0,46,4,1,252075,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,ayuta,Tejo,Initiator,7,13,4,124,83,0.58,53,1,1,0,0.26,15,0,1,0,0,0,0,0,0,0,34,4,0,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,ayuta,Tejo,Initiator,8,15,4,125,105,0.67,59,0,3,-3,0.19,18,2,0,0,0,0,0,0,0,0,44,8,0,252081,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Split,ZETA DIVISION Academy,13,NORTHEPTION Youth,7,ZETA DIVISION Academy,ayuta,Tejo,Initiator,12,12,4,191,130,0.96,85,2,1,1,0.68,31,1,1,0,0,0,0,0,0,0,51,3,0,252091,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Split,BC SWELL,11,ZETA DIVISION Academy,13,ZETA DIVISION Academy,ayuta,Tejo,Initiator,16,21,9,204,133,0.8,75,1,3,-2,0.12,19,3,0,1,0,0,0,0,0,0,46,4,0,252097,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,ayuta,Sova,Initiator,19,21,4,188,138,0.87,79,3,3,0,0.39,35,5,0,0,0,0,0,0,0,0,52,4,0,252090,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,ZETA DIVISION Academy,ayuta,Fade,Initiator,8,19,6,116,74,0.45,81,2,4,-2,0.20,25,2,0,0,0,0,0,0,0,0,29,4,0,252345,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Bind,BC SWELL,9,ZETA DIVISION Academy,13,ZETA DIVISION Academy,ayuta,Fade,Initiator,14,14,4,169,111,0.85,86,0,2,-2,0.67,41,2,1,0,0,0,0,0,0,0,48,5,0,252096,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,winter,Yoru,Duelist,20,17,6,245,165,1.05,70,4,1,3,0.54,38,4,1,1,0,0,1,0,0,0,55,2,0,252075,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,winter,Yoru,Duelist,18,13,2,263,167,1.16,68,3,4,-1,0.55,34,4,2,0,0,0,0,0,0,0,63,0,1,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,winter,Yoru,Duelist,24,16,2,336,207,1.37,64,4,3,1,0.32,28,6,3,0,0,0,0,0,0,0,81,0,0,252081,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,ZETA DIVISION Academy,winter,Yoru,Duelist,19,18,3,267,172,1.13,71,2,0,2,0.07,37,8,0,0,0,1,0,0,0,0,64,0,0,252345,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,hatto,Yoru,Duelist,12,22,6,139,93,0.56,61,2,4,-2,-0.07,19,1,1,0,0,0,0,0,0,0,34,2,0,252090,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Split,ZETA DIVISION Academy,13,NORTHEPTION Youth,7,ZETA DIVISION Academy,winter,Yoru,Duelist,30,10,3,398,256,2.04,85,6,1,5,1.09,45,7,2,1,0,1,0,0,0,0,100,2,1,252091,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Bind,BC SWELL,9,ZETA DIVISION Academy,13,ZETA DIVISION Academy,winter,Yoru,Duelist,23,13,3,291,176,1.46,82,10,1,9,0.96,39,4,1,0,0,0,0,0,0,0,65,2,0,252096,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Split,BC SWELL,11,ZETA DIVISION Academy,13,ZETA DIVISION Academy,winter,Yoru,Duelist,17,19,5,205,147,0.86,67,1,3,-2,0.26,32,4,1,0,0,0,0,0,0,0,51,1,1,252097,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,hatto,Waylay,Duelist,8,15,3,111,73,0.48,63,2,2,0,0.35,29,0,0,0,0,0,0,0,0,0,29,0,2,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,hatto,Waylay,Duelist,16,17,4,213,143,0.89,68,4,2,2,0.37,22,4,0,0,0,0,0,0,0,0,56,0,0,252081,2026
