League,game_id,match_id,phase,map_name,team1_name,team1_score,team2_name,team2_score,agents,player_team,player_name,role,kills,deaths,assists,acs,adr,rating,kast,first_kills,first_deaths,fk_diff,RIV,hs_pct,k2,k3,k4,k5,clutch_1v1,clutch_1v2,clutch_1v3,clutch_1v4,clutch_1v5,econ,plants,defuses
VCK Split 1,252159,647405,Playoffs: Lower Final,Haven,Gen.G Global Academy,13,T1 Academy,4,Cypher,Gen.G Global Academy,Fric,Sentinel,14,11,6,243,168,1.23,82,1,0,1,0.62,29,4,0,0,0,1,0,0,0,0,59,0,0
VCK Split 1,252159,647405,Playoffs: Lower Final,Fracture,Gen.G Global Academy,15,T1 Academy,13,Cypher,Gen.G Global Academy,Fric,Sentinel,22,18,5,201,137,0.94,71,5,2,3,0.82,32,4,0,0,0,0,0,0,0,0,50,0,0
VCK Split 1,252159,647405,Playoffs: Lower Final,Haven,Gen.G Global Academy,13,T1 Academy,4,Sova,Gen.G Global Academy,RgoN,Initiator,9,6,2,108,71,1.03,82,0,1,-1,1.09,35,2,0,0,0,1,0,0,0,0,36,10,2
VCK Split 1,252159,647405,Playoffs: Lower Final,Split,Gen.G Global Academy,13,T1 Academy,9,Skye,Gen.G Global Academy,KiTae,Initiator,26,15,6,313,199,1.61,77,3,1,2,0.70,23,6,3,0,0,0,1,0,0,0,74,3,2
VCK Split 1,252159,647405,Playoffs: Lower Final,Fracture,Gen.G Global Academy,15,T1 Academy,13,Tejo,Gen.G Global Academy,RgoN,Initiator,19,20,6,194,139,0.97,75,2,3,-1,0.39,22,4,0,0,0,0,0,0,0,0,48,6,0
VCK Split 1,252159,647405,Playoffs: Lower Final,Fracture,Gen.G Global Academy,15,T1 Academy,13,Breach,Gen.G Global Academy,KiTae,Initiator,21,22,4,217,141,0.93,75,3,4,-1,0.25,22,4,0,1,0,1,0,0,0,0,46,4,1
VCK Split 1,252159,647405,Playoffs: Lower Final,Haven,Gen.G Global Academy,13,T1 Academy,4,Phoenix,Gen.G Global Academy,Sovereign,Duelist,16,7,4,275,188,1.64,88,3,0,3,0.91,46,4,1,0,0,0,0,0,0,0,100,1,1
VCK Split 1,252159,647405,Playoffs: Lower Final,Haven,Gen.G Global Academy,13,T1 Academy,4,Neon,Gen.G Global Academy,Raxcal,Duelist,13,8,3,231,143,1.32,82,4,3,1,0.85,14,2,1,0,0,0,0,0,0,0,71,0,0
VCK Split 1,252159,647405,Playoffs: Lower Final,Split,Gen.G Global Academy,13,T1 Academy,9,Waylay,Gen.G Global Academy,Sovereign,Duelist,18,15,7,238,160,1.26,82,6,2,4,0.72,25,5,1,0,0,1,0,0,0,0,67,1,1
VCK Split 1,252159,647405,Playoffs: Lower Final,Split,Gen.G Global Academy,13,T1 Academy,9,Neon,Gen.G Global Academy,Raxcal,Duelist,14,19,6,185,112,0.7,64,4,3,1,0.20,9,2,0,0,0,0,0,0,0,0,41,0,0
VCK Split 1,252160,647405,Playoffs: Lower Final,Fracture,Gen.G Global Academy,15,T1 Academy,13,Neon,Gen.G Global Academy,Raxcal,Duelist,25,18,7,266,179,1.39,82,6,1,5,0.76,20,4,1,0,0,1,0,0,0,0,67,0,1
VCK Split 1,252160,647405,Playoffs: Lower Final,Haven,Gen.G Global Academy,13,T1 Academy,4,Omen,Gen.G Global Academy,KiTae,Controller,12,11,3,183,105,0.96,76,3,2,1,0.66,34,2,0,0,0,0,0,0,0,0,38,0,0
VCK Split 1,252160,647405,Playoffs: Lower Final,Split,Gen.G Global Academy,13,T1 Academy,9,Viper,Gen.G Global Academy,Fric,Controller,15,15,8,216,152,1.05,64,0,0,0,0.31,33,6,0,0,0,1,0,0,0,0,65,0,1
VCK Split 1,252160,647405,Playoffs: Lower Final,Split,Gen.G Global Academy,13,T1 Academy,9,Omen,Gen.G Global Academy,RgoN,Controller,12,17,6,148,90,0.75,86,2,1,1,0.42,17,0,1,0,0,0,0,0,0,0,32,2,0
